state,design,outcome,spec,term,estimate,se,p,n,r2
raj,couples,mean_gap,s1,dose_main,-0.08575933085388938,0.043983179655890194,0.05127785976397359,220481,0.36128011046265374
raj,couples,mean_gap,s2,dose_main,-0.0904748842546724,0.037028487852866415,0.014599833461422003,219136,0.43071996257781797
raj,couples,mean_gap,s3,dose_main,-0.05573406486328971,0.0356295598211124,0.11784656426976158,220481,0.4117563296924748
raj,couples,mean_gap,s4,exp_2005,-0.09367858832737995,0.03225568533724692,0.0037046605515461068,219136,0.4307610888069697
raj,couples,mean_gap,s4,exp_2010,0.06898039409424986,0.04368861084167324,0.11444808896664031,219136,0.4307610888069697
raj,couples,share_gap_ge5,s1,dose_main,-0.006681162579457746,0.0037021289921839854,0.07121122179702723,220651,0.37836111974148867
raj,couples,share_gap_ge5,s2,dose_main,-0.007412956377748088,0.0030713395924011617,0.015847841235592533,219298,0.49074847496300344
raj,couples,share_gap_ge5,s3,dose_main,-0.002428342184796814,0.0031208101672349285,0.43655558186596877,220651,0.4906918515348959
raj,couples,share_gap_ge5,s4,exp_2005,-0.00837249049890167,0.002846845001095689,0.003293545802065841,219298,0.49079507178426274
raj,couples,share_gap_ge5,s4,exp_2010,0.006335201117015524,0.0033807903171349327,0.06103097120380287,219298,0.49079507178426274
raj,couples,share_married_w,s1,dose_main,0.021392998480980478,0.01038098903837375,0.03939778984990441,251521,0.8007679478820604
raj,couples,share_married_w,s2,dose_main,0.014327321374563858,0.004970937363058865,0.0039732105493118655,250543,0.8628185706516089
raj,couples,share_married_w,s3,dose_main,0.017183582173169547,0.008583923057047175,0.04538035897993945,251521,0.8539382182529505
raj,couples,share_married_w,s4,exp_2005,0.016984497552873356,0.004908166467820514,5.457840548746869e-4,250543,0.8630027627871206
raj,couples,share_married_w,s4,exp_2010,-0.002917663043068892,0.005284932662957314,0.5809347303667793,250543,0.8630027627871206
raj,couples_micro,gap,micro_all,dose_main,-0.09442460487981968,0.03634788113242085,0.009422419950585835,4341830,0.07028504952046999
raj,couples_micro,gap,micro_clean,dose_main,-0.05351238011253433,0.0276894075076077,0.053368574468882254,4157228,0.04495263277467265
