district_std,n_parts_bridged,n_parts_with_treatment,share_parts_with_treatment,electors_bridged,electors_with_treatment
aaajamagadh,2,0,0,1993,0
aagaraa,1598,1193,0.746558197747184,1390555,1042337
aajamagadh,3037,0,0,2768742,0
ad,39,22,0.5641025641025641,36715,20835
ajnjaapagadh,1,0,0,1008,0
aleegadh,2162,0,0,1795448,0
ambedakar nagar,1770,1196,0.6757062146892655,1478424,996563
ambedaphar nagar,68,53,0.7794117647058824,53478,41203
amethee,971,0,0,830691,0
auraiyaa,969,773,0.7977296181630547,844865,673539
baagapath,534,445,0.8333333333333334,505595,423354
baamdaa,1144,924,0.8076923076923077,997971,807746
baaraabamkee,2222,1599,0.7196219621962197,1800015,1313296
badaayoom,661,519,0.7851739788199698,598390,467037
baharaaich,2409,1668,0.6924034869240349,2007308,1386617
balaraamapur,1693,1298,0.7666863555818074,1416297,1082968
baliyaa,2190,1635,0.7465753424657534,2069831,1562661
barelee,2068,1281,0.6194390715667312,1835101,1145610
basthee,2180,1528,0.7009174311926606,1697038,1191664
bhadoohee,1073,782,0.7287977632805219,974366,712468
bijanour,2430,1496,0.6156378600823045,1980794,1214106
bulandasahar,1616,990,0.6126237623762376,1360599,821585
bulanvasahar,83,10,0.12048192771084337,68666,8198
chandoulee,889,537,0.6040494938132733,782941,477479
chithrakoot,566,479,0.8462897526501767,463588,392815
ded ha nagar,1,1,1,672,672
devariyaa,52,35,0.6730769230769231,42437,26487
etaa,1317,0,0,1014990,0
fed ha nagar,4,3,0.75,4509,3181
gaajeepur,2575,1633,0.6341747572815534,2230735,1399307
gaajiyaabaad,347,302,0.8703170028818443,309332,273022
garaget,194,125,0.6443298969072165,160088,103766
goondaa,2534,2049,0.808602999210734,2062187,1665259
goorakhapur,3338,2548,0.7633313361294188,2980329,2286117
goutham buddh nagar,382,245,0.6413612565445026,345786,226910
haapud,626,447,0.7140575079872205,600475,429482
haatharas,920,643,0.6989130434782609,733968,527849
hameerapur,521,413,0.7927063339731286,479272,381836
haradooee,2984,2247,0.7530160857908847,2406196,1795918
ilaahaabaad,844,0,0,732742,0
itaavaa,929,715,0.7696447793326158,770493,593225
jaaloun,1053,860,0.8167141500474834,773489,635239
jhhaamsee,894,500,0.5592841163310962,730683,400178
jounapur,633,542,0.8562401263823065,514506,441476
kaanapur dehaath,1310,0,0,1055398,0
kaanapur nagar,2579,2417,0.9371849554090733,2347205,2233123
kaasagamj,944,0,0,804010,0
kannouj,1168,972,0.8321917808219178,855436,708646
kheeree,2658,2008,0.7554552294958615,2520233,1918842
kousaambee,1029,778,0.7560738581146744,939206,705230
kuseenagar,2038,1519,0.7453385672227674,1866701,1386439
lakhanaoo,405,321,0.7925925925925926,375574,301855
lalithapur,676,537,0.7943786982248521,606106,488428
mahaaraajagamj,1764,1365,0.7738095238095238,1565791,1214962
mahoobaa,430,326,0.7581395348837209,360472,280057
mainapuree,1415,1061,0.7498233215547703,797488,596038
maoo,1152,745,0.6467013888888888,1075406,710145
mathuraa,1208,0,0,1027671,0
merath,920,0,0,866895,0
mirjaapur,1717,1128,0.6569598136284217,1583798,1041905
mujaphpharanagar,773,646,0.8357050452781372,737834,616091
muraadaabaad,1408,799,0.5674715909090909,1278598,730089
muraavaabaad,1,0,0,673,0
peeleebheeth,1076,853,0.7927509293680297,943805,759675
phaijaabaad,190,150,0.7894736842105263,152681,121967
phararookhaabaad,179,0,0,154360,0
pharookhaabaad,292,0,0,251592,0
pharrookhaabaad,467,0,0,397776,0
phathehapur,963,648,0.6728971962616822,843789,568861
phiroojaabaad,1130,875,0.7743362831858407,943087,737289
prathaapagadh,2073,1513,0.7298601061263869,1868084,1372763
raamapur,1405,822,0.5850533807829181,1281640,759223
raay barelee,1408,1095,0.7776988636363636,1282887,1011222
saahajahaaapur,850,694,0.8164705882352942,735089,611384
saamalee,332,253,0.7620481927710844,319736,243214
sahaaranapur,1599,968,0.6053783614759225,1473938,883782
sambhal,710,356,0.5014084507042254,667839,337391
santh kabeer nagar,813,597,0.7343173431734318,603396,458266
seethaapur,3362,2539,0.755205234979179,2568986,1945833
siddhaarthanagar,1859,1311,0.7052178590640129,1514191,1073230
soonabhadr,1164,706,0.6065292096219931,1029836,634567
sraavasthee,794,642,0.8085642317380353,469308,375489
st aag,1,0,0,612,0
sulthaanapur,2020,1319,0.652970297029703,1639897,1067324
unnaav,2190,1722,0.7863013698630137,1725549,1345145
vaaraanasee,1633,1419,0.868952847519902,1592701,1385937
wed kabeer nagar,119,68,0.5714285714285714,86997,50737
