birth_year,n_cells,mean_dose,max_dose,share_any_exposure
1919,825,0,0,0
1920,1260,0,0,0
1921,1265,0,0,0
1922,1904,0,0,0
1923,1635,0,0,0
1924,2076,0,0,0
1925,2079,0,0,0
1926,2261,0,0,0
1927,2634,0,0,0
1928,2390,0,0,0
1929,2550,0,0,0
1930,2847,0,0,0
1931,2780,0,0,0
1932,3048,0,0,0
1933,2934,0,0,0
1934,3204,0,0,0
1935,3150,0,0,0
1936,3246,0,0,0
1937,3308,0,0,0
1938,3282,0,0,0
1939,3291,0,0,0
1940,3344,0,0,0
1941,3291,0,0,0
1942,3384,0,0,0
1943,3367,0,0,0
1944,3411,0,0,0
1945,3399,0,0,0
1946,3424,0,0,0
1947,3422,0,0,0
1948,3424,0,0,0
1949,3431,0,0,0
1950,3440,0,0,0
1951,3426,0,0,0
1952,3436,0,0,0
1953,3431,0,0,0
1954,3457,0,0,0
1955,3450,0,0,0
1956,3458,0,0,0
1957,3455,0,0,0
1958,3463,0,0,0
1959,3455,0,0,0
1960,3464,0,0,0
1961,3451,0,0,0
1962,3461,0,0,0
1963,3463,0,0,0
1964,3468,0,0,0
1965,3470,0,0,0
1966,3469,0,0,0
1967,3469,0,0,0
1968,3472,0,0,0
1969,3470,0,0,0
1970,3471,0,0,0
1971,3469,0,0,0
1972,3471,0,0,0
1973,3470,0,0,0
1974,3468,0,0,0
1975,3463,0,0,0
1976,3457,0,0,0
1977,3470,0,0,0
1978,3468,0,0,0
1979,3470,0,0,0
1980,3471,0,0,0
1981,3472,0,0,0
1982,3472,0,0,0
1983,3472,0,0,0
1984,3472,0,0,0
1985,3471,0,0,0
1986,3470,0,0,0
1987,3471,0,0,0
1988,3471,0,0,0
1989,3471,0,0,0
1990,3471,0.0663785652549698,0.2,0.33189282627484873
1991,3472,0.13271889400921666,0.4,0.3317972350230415
1992,3471,0.19913569576490922,0.6,0.33189282627484873
1993,3472,0.26543778801843343,0.8,0.3317972350230415
1994,3472,0.33179723502304137,1,0.3317972350230415
1995,3472,0.4235023041474654,1.2,0.6322004608294931
1996,3472,0.5152073732718894,1.4,0.6322004608294931
1997,3469,0.6070913808013838,1.6,0.6321706543672528
1998,3471,0.698588303082685,1.8,0.6320944972630366
1999,3471,0.7905502736963413,2,0.6323825986747335
2000,35,0.8457142857142856,2.2,0.8571428571428571
