token,script,note
विद्यालय,dev,school
विधालय,dev,school misspelling
स्कूल,dev,school
शाला,dev,school
पाठशाला,dev,school
महाविद्यालय,dev,college
भवन,dev,building
कार्यालय,dev,office
पंचायत,dev,panchayat
घर,dev,house
आंगनबाड़ी,dev,anganwadi
आंगनबाडी,dev,anganwadi
आगनबाड़ी,dev,anganwadi
केन्द्र,dev,center
केंद्र,dev,center
कमरा,dev,room
कक्ष,dev,room
नं,dev,number abbrev
नंबर,dev,number
संख्या,dev,number
वाम,dev,left
बायां,dev,left
बाया,dev,left
दायां,dev,right
दाया,dev,right
भाग,dev,part
पूर्वी,dev,eastern
पश्चिमी,dev,western
उत्तरी,dev,northern
दक्षिणी,dev,southern
राजकीय,dev,government
सरकारी,dev,government
प्राथमिक,dev,primary
उच्च,dev,upper
माध्यमिक,dev,middle
उच्चतर,dev,higher
वरिष्ठ,dev,senior
बालिका,dev,girls
बालक,dev,boys
कन्या,dev,girls
आदर्श,dev,model
संस्कृत,dev,sanskrit
मिडिल,dev,middle
जूनियर,dev,junior
हाई,dev,high
इंटर,dev,inter
कॉलेज,dev,college
कालेज,dev,college
प्रा,dev,primary abbrev
वि,dev,school abbrev
मा,dev,middle abbrev
रा,dev,government abbrev
उ,dev,upper abbrev
सामुदायिक,dev,community
सहकारी,dev,cooperative
समिति,dev,committee
मदरसा,dev,madrasa
मस्जिद,dev,mosque
मंदिर,dev,temple
धर्मशाला,dev,dharamshala
चौपाल,dev,choupal
बारात,dev,marriage hall
अतिरिक्त,dev,additional
नवीन,dev,new
पुराना,dev,old
परिसर,dev,campus
प्रांगण,dev,courtyard
vidyalaya,latin,school
vidhyalaya,latin,school
vidyalay,latin,school
school,latin,school
shala,latin,school
pathshala,latin,school
mahavidyalaya,latin,college
bhawan,latin,building
bhavan,latin,building
karyalaya,latin,office
karyalay,latin,office
panchayat,latin,panchayat
ghar,latin,house
anganwadi,latin,anganwadi
anganbadi,latin,anganwadi
kendra,latin,center
kendr,latin,center
kamra,latin,room
kaksh,latin,room
no,latin,number abbrev
number,latin,number
sankhya,latin,number
vam,latin,left
bayan,latin,left
baya,latin,left
dayan,latin,right
daya,latin,right
bhag,latin,part
purvi,latin,eastern
pashchimi,latin,western
uttari,latin,northern
dakshini,latin,southern
rajkiya,latin,government
sarkari,latin,government
prathmik,latin,primary
prathamik,latin,primary
uchch,latin,upper
uchcha,latin,upper
madhyamik,latin,middle
uchchtar,latin,higher
varishth,latin,senior
balika,latin,girls
balak,latin,boys
kanya,latin,girls
adarsh,latin,model
sanskrit,latin,sanskrit
middle,latin,middle
junior,latin,junior
high,latin,high
inter,latin,inter
college,latin,college
pra,latin,primary abbrev
samudayik,latin,community
sahkari,latin,cooperative
samiti,latin,committee
madarsa,latin,madrasa
masjid,latin,mosque
mandir,latin,temple
dharamshala,latin,dharamshala
chaupal,latin,choupal
atirikt,latin,additional
navin,latin,new
purana,latin,old
parisar,latin,campus
prangan,latin,courtyard
primary,latin,primary
upper,latin,upper
senior,latin,senior
secondary,latin,secondary
govt,latin,government abbrev
government,latin,government
room,latin,room
left,latin,left
right,latin,right
part,latin,part
east,latin,east
west,latin,west
north,latin,north
south,latin,south
new,latin,new
old,latin,old
building,latin,building
office,latin,office
center,latin,center
centre,latin,center
